"Name";"URL";"ID";"Category"
"GoSwim Deckshots";"https://itunes.apple.com/us/app/goswim-deckshots/id933313771?mt=8";933313771;"Health&Fitness"
"GoSwim Lite";"https://itunes.apple.com/us/app/goswim-lite/id349048645?mt=8";349048645;"Health&Fitness"
"Got A Minute For Your Health - one minute fitness workouts to get you standing, combat prolonged sit...";"https://itunes.apple.com/us/app/got-minute-for-your-health-one-minute-fitness-workouts/id904412914?mt=8";904412914;"Health&Fitness"
"Got a Team App";"https://itunes.apple.com/us/app/got-a-team-app/id1217412996?mt=8";1217412996;"Health&Fitness"
"Got Beauty Appointments";"https://itunes.apple.com/us/app/got-beauty-appointments/id1147758146?mt=8";1147758146;"Health&Fitness"
"Got Muscle Personal Training";"https://itunes.apple.com/us/app/got-muscle-personal-training/id1093644678?mt=8";1093644678;"Health&Fitness"
"Got Your Back Total Health";"https://itunes.apple.com/us/app/got-your-back-total-health/id568990060?mt=8";568990060;"Health&Fitness"
"GOT7 Nutrition";"https://itunes.apple.com/us/app/got7-nutrition/id1127848026?mt=8";1127848026;"Health&Fitness"
"GoTalk Now";"https://itunes.apple.com/us/app/gotalk-now/id454176457?mt=8";454176457;"Medical"
"GoTalk NOW LITE";"https://itunes.apple.com/us/app/gotalk-now-lite/id953164338?mt=8";953164338;"Medical"
"GoTalk NOW PLUS";"https://itunes.apple.com/us/app/gotalk-now-plus/id742150885?mt=8";742150885;"Medical"
"GoTalk Start";"https://itunes.apple.com/us/app/gotalk-start/id675151598?mt=8";675151598;"Medical"
"GotchaPro";"https://itunes.apple.com/us/app/gotchapro/id878590840?mt=8";878590840;"Health&Fitness"
"GotEmSick";"https://itunes.apple.com/us/app/gotemsick/id983249392?mt=8";983249392;"Health&Fitness"
"GoTennis";"https://itunes.apple.com/us/app/gotennis/id1368068310?mt=8";1368068310;"Health&Fitness"
"GOtezla - Helping you get started";"https://itunes.apple.com/us/app/gotezla-helping-you-get-started/id1091376969?mt=8";1091376969;"Both"
"Gotha Club Gym & Pool";"https://itunes.apple.com/us/app/gotha-club-gym-pool/id1077696367?mt=8";1077696367;"Health&Fitness"
"GOTHA Élite Fitness";"https://itunes.apple.com/us/app/gotha-%C3%A9lite-fitness/id1072335694?mt=8";1072335694;"Health&Fitness"
"Gothaer Gesundheitsapp";"https://itunes.apple.com/us/app/gothaer-gesundheitsapp/id1033200848?mt=8";1033200848;"Health&Fitness"
