"Name";"URL";"ID";"Category"
"Clínica San Felipe";"https://itunes.apple.com/us/app/cl%C3%ADnica-san-felipe/id1339234741?mt=8";1339234741;"Both"
"Clínica San Miguel";"https://itunes.apple.com/us/app/cl%C3%ADnica-san-miguel/id984085863?mt=8";984085863;"Health&Fitness"
"Clínica Santa Lucía";"https://itunes.apple.com/us/app/cl%C3%ADnica-santa-luc%C3%ADa/id1370116070?mt=8";1370116070;"Health&Fitness"
"Clínica Santa María";"https://itunes.apple.com/us/app/cl%C3%ADnica-santa-mar%C3%ADa/id1299576157?mt=8";1299576157;"Medical"
"Clínica Sense";"https://itunes.apple.com/us/app/cl%C3%ADnica-sense/id1002003269?mt=8";1002003269;"Health&Fitness"
"Clinica Sol";"https://itunes.apple.com/us/app/clinica-sol/id1397305139?mt=8";1397305139;"Both"
"Clínica SYO";"https://itunes.apple.com/us/app/cl%C3%ADnica-syo/id1176525378?mt=8";1176525378;"Health&Fitness"
"CLÍNICA THIERS";"https://itunes.apple.com/us/app/cl%C3%ADnica-thiers/id1135093959?mt=8";1135093959;"Medical"
"Clínica Univ. Concepción";"https://itunes.apple.com/us/app/cl%C3%ADnica-univ-concepci%C3%B3n/id1365016156?mt=8";1365016156;"Both"
"Clínica Universal";"https://itunes.apple.com/us/app/cl%C3%ADnica-universal/id887628028?mt=8";887628028;"Medical"
"Clínica Varela";"https://itunes.apple.com/us/app/cl%C3%ADnica-varela/id1332972985?mt=8";1332972985;"Medical"
"Clínica Verde";"https://itunes.apple.com/us/app/cl%C3%ADnica-verde/id1346106196?mt=8";1346106196;"Medical"
"Clínica Vet. Puerta Alcalá";"https://itunes.apple.com/us/app/cl%C3%ADnica-vet-puerta-alcal%C3%A1/id1195528363?mt=8";1195528363;"Medical"
"Clínica Veterinária";"https://itunes.apple.com/us/app/cl%C3%ADnica-veterin%C3%A1ria/id738164964?mt=8";738164964;"Medical"
"Clínica veterinaria +cotas";"https://itunes.apple.com/us/app/cl%C3%ADnica-veterinaria-cotas/id920930533?mt=8";920930533;"Medical"
"Clinica Veterinaria Ca Bianca";"https://itunes.apple.com/us/app/clinica-veterinaria-ca-bianca/id1205700934?mt=8";1205700934;"Both"
"Clinica Veterinaria Cinisello";"https://itunes.apple.com/us/app/clinica-veterinaria-cinisello/id1213983783?mt=8";1213983783;"Medical"
"Clinica Veterinaria Gran Sasso";"https://itunes.apple.com/us/app/clinica-veterinaria-gran-sasso/id665647816?mt=8";665647816;"Both"
"Clinica Veterinaria San Emilio";"https://itunes.apple.com/us/app/clinica-veterinaria-san-emilio/id1357760798?mt=8";1357760798;"Health&Fitness"
"Clínica Viva";"https://itunes.apple.com/us/app/cl%C3%ADnica-viva/id1260967711?mt=8";1260967711;"Medical"
"ClínicaBalut";"https://itunes.apple.com/us/app/cl%C3%ADnicabalut/id1031417828?mt=8";1031417828;"Medical"
"ClinicaDentalZaidin";"https://itunes.apple.com/us/app/clinicadentalzaidin/id1005503863?mt=8";1005503863;"Medical"
"CliniCal";"https://itunes.apple.com/us/app/clinical/id507409167?mt=8";507409167;"Medical"
"Clinical Advisor";"https://itunes.apple.com/us/app/clinical-advisor/id560576498?mt=8";560576498;"Both"
"Clinical Anesthesia Procedures";"https://itunes.apple.com/us/app/clinical-anesthesia-procedures/id624609757?mt=8";624609757;"Both"
"Clinical Assistant";"https://itunes.apple.com/us/app/clinical-assistant/id1145935730?mt=8";1145935730;"Medical"
"Clinical Assistant Physician Exam Review: 2600 Study Notes & Q&A";"https://itunes.apple.com/us/app/clinical-assistant-physician-exam-review-2600-study/id1070872629?mt=8";1070872629;"Medical"
"Clinical Biochemistry, 5th Edition";"https://itunes.apple.com/us/app/clinical-biochemistry-5th-edition/id1128377335?mt=8";1128377335;"Both"
"Clinical Calculator PLUS";"https://itunes.apple.com/us/app/clinical-calculator-plus/id1242209873?mt=8";1242209873;"Medical"
"Clinical Calculators";"https://itunes.apple.com/us/app/clinical-calculators/id521145478?mt=8";521145478;"Health&Fitness"
"Clinical Cancer Journals";"https://itunes.apple.com/us/app/clinical-cancer-journals/id646029348?mt=8";646029348;"Medical"
"Clinical Care Pharmacy";"https://itunes.apple.com/us/app/clinical-care-pharmacy/id989649897?mt=8";989649897;"Health&Fitness"
"Clinical Cases for GP Exams";"https://itunes.apple.com/us/app/clinical-cases-for-gp-exams/id1086625853?mt=8";1086625853;"Medical"
