"";"keywords";"languages";"Size";"AppID";"Name";"AppURL";"description";"average.rating";"category";"pegi";"devname";"price";"version";"lastupdate"
"1";"Body Language Guide, George Mincu, Health & Fitness, Food & Drink, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English, Arabic, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese";"21.1 MB";1203143797;"Body Language Guide ";"https://itunes.apple.com/us/app/body-language-guide/id1203143797?mt=8";"Body Language Kit is a great collection with photos and info. You can zoom photos, view info, edit and share photo with friends.- Photos and info no internet connection required- Add to favorites- Share with friends- Test your knowledge- Search- Zoom.";NA;"Health & Fitness";4;"George Mincu";4,99;NA;NA
"2";"Body Rock Pilates, MINDBODY, Incorporated, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English, Arabic, Czech, Danish, Dutch, French, German, Hebrew, Italian, Japanese, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese";"80.4 MB";1096795882;"Body Rock Pilates ";"https://itunes.apple.com/us/app/body-rock-pilates/id1096795882?mt=8";"Download the Body Rock Pilates App today to plan and schedule your classes! From this mobile App you can view class schedules, sign-up for classes, view ongoing promotions, as well as view the studio’s location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of signing up for classes from your device! Download this App today!";NA;"Health & Fitness";4;"MINDBODY, Incorporated";0;"4.2.1";1529539200
"3";"Body shape workout - shape your body in minutes, Fiberoptikproffsen AB, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"English";"8.1 MB";1197540675;"Body shape workout - shape your body in minutes ";"https://itunes.apple.com/us/app/body-shape-workout-shape-your-body-in-minutes/id1197540675?mt=8";"Stay in shape have never been easier that right now, all you have to do is to follow a few easy steps every day and you are on the green side!Basically, just launch body shape app and follow the instruction, exercise through a couple of intense minutes every day to stay in shape.You don't need to pack your bag, book an appointment with a diets, learn how to train or nothin and the best thing, you do not even need to leave your homeWith the body shape app you can simply do the exercise from your living room, on your lunch break or outdoor anytime.7 minutes of your time it all it takes every day,follow the instructions and do the exercise that you are being instructed and whatever you do, don't give up - its only 7 minutes!Stay in shape with body shape workout app!";NA;"Health & Fitness";4;"FOP Fiberoptikproffsen AB";0;NA;NA
